ZB=F,EUR=X,CHFUSD,GLD
111.34375,0.70661,0.852806,72.7
111.34375,0.70102,0.859845,73.51
111.71875,0.70244,0.856018,73.9
112.0,0.70661,0.851064,72.35
111.84375,0.70922,0.847529,71.9
112.09375,0.70746,0.851426,72.87
110.78125,0.70756,0.849401,73.4
110.78125,0.70887,0.845309,73.09
110.78125,0.70716,0.844951,73.36
110.625,0.70413,0.846238,73.91
110.375,0.70472,0.843668,74.59
110.4375,0.70403,0.846812,75.14
110.40625,0.70537,0.846024,75.12
111.6875,0.70338,0.84832,74.5
112.15625,0.69955,0.855139,76.0
113.21875,0.69945,0.856384,75.7
113.40625,0.70522,0.849401,74.6
113.1875,0.70136,0.852224,75.23
113.9375,0.70111,0.853534,75.52
113.78125,0.69803,0.858148,76.03
113.5,0.69478,0.85859,77.69
113.65625,0.69358,0.858443,78.12
113.59375,0.69252,0.86326,77.35
112.59375,0.69099,0.862441,78.62
113.84375,0.69314,0.86423,77.93
